Model	User Usage Tier	Context Usage Tier	Monthly Input Tokens / User	Monthly Output Tokens / User	Total Monthly Tokens / User	Cost/PDF	Cost/User/Month	Total Cost (5000 Users)
		Average (16k)	8,00,000	8,00,000	16,00,000	$0.01	$0.30	$1,480.00
		Conservative (8k)	4,00,000	4,00,000	8,00,000	$0.00	$0.15	$740.00
	30 PDFs	Aggressive (64k)	19,20,000	19,20,000	38,40,000	$0.02	$0.71	$3,552.00
		Above Avg (32k)	9,60,000	9,60,000	19,20,000	$0.01	$0.36	$1,776.00
		Average (16k)	4,80,000	4,80,000	9,60,000	$0.01	$0.18	$888.00
		Conservative (8k)	2,40,000	2,40,000	4,80,000	$0.00	$0.09	$444.00
	15 PDFs	Aggressive (64k)	9,60,000	9,60,000	19,20,000	$0.02	$0.36	$1,776.00
		Above Avg (32k)	4,80,000	4,80,000	9,60,000	$0.01	$0.18	$888.00
		Average (16k)	2,40,000	2,40,000	4,80,000	$0.01	$0.09	$444.00
		Conservative (8k)	1,20,000	1,20,000	2,40,000	$0.00	$0.04	$222.00
	10 PDFs	Aggressive (64k)	6,40,000	6,40,000	12,80,000	$0.02	$0.24	$1,184.00
		Above Avg (32k)	3,20,000	3,20,000	6,40,000	$0.01	$0.12	$592.00
		Average (16k)	1,60,000	1,60,000	3,20,000	$0.01	$0.06	$296.00
		Conservative (8k)	80,000	80,000	1,60,000	$0.00	$0.03	$148.00
---	---	---	---	---	---	---	---	---
Llama 4 Scout 17B	50 PDFs	Aggressive (64k)	32,00,000	32,00,000	64,00,000	$0.05	$2.66	$13,280.00
		Above Avg (32k)	16,00,000	16,00,000	32,00,000	$0.03	$1.33	$6,640.00
		Average (16k)	8,00,000	8,00,000	16,00,000	$0.01	$0.66	$3,320.00
		Conservative (8k)	4,00,000	4,00,000	8,00,000	$0.01	$0.33	$1,660.00
	30 PDFs	Aggressive (64k)	19,20,000	19,20,000	38,40,000	$0.05	$1.59	$7,968.00
		Above Avg (32k)	9,60,000	9,60,000	19,20,000	$0.03	$0.80	$3,984.00
		Average (16k)	4,80,000	4,80,000	9,60,000	$0.01	$0.40	$1,992.00
		Conservative (8k)	2,40,000	2,40,000	4,80,000	$0.01	$0.20	$996.00
	15 PDFs	Aggressive (64k)	9,60,000	9,60,000	19,20,000	$0.05	$0.80	$3,984.00
		Above Avg (32k)	4,80,000	4,80,000	9,60,000	$0.03	$0.40	$1,992.00
		Average (16k)	2,40,000	2,40,000	4,80,000	$0.01	$0.20	$996.00
		Conservative (8k)	1,20,000	1,20,000	2,40,000	$0.01	$0.10	$498.00
	10 PDFs	Aggressive (64k)	6,40,000	6,40,000	12,80,000	$0.05	$0.53	$2,656.00
		Above Avg (32k)	3,20,000	3,20,000	6,40,000	$0.03	$0.27	$1,328.00
		Average (16k)	1,60,000	1,60,000	3,20,000	$0.01	$0.13	$664.00
		Conservative (8k)	80,000	80,000	1,60,000	$0.01	$0.07	$332.00
